CSA,ECSA
2.7867752963517646e-10,3.888715666878268e-27
1.381297848420051e-09,1.997535912524321e-24
1.5811743923346099e-09,3.763903355049974e-24
1.8359109961284184e-09,1.413616872148396e-29
4.6816806188948425e-11,5.943856667123638e-26
8.829982405649086e-08,5.176681310858184e-26
1.0267452985602792e-10,1.3843183847287578e-25
2.8622426323953947e-10,5.115700769002551e-25
1.0857482505899028e-08,6.526455785080334e-28
1.4101135658167084e-09,1.1923142007184983e-25
2.2099648586406673e-10,2.930751752481562e-25
4.0716245699650664e-10,5.606255581429452e-23
1.3804310965613917e-09,4.37464611596919e-25
1.176553738879128e-09,1.5586111350808305e-25
1.5768340237376511e-09,2.5270551024310267e-28
5.59109831042132e-09,1.2197546973561893e-26
1.579531814668646e-08,5.002614571099548e-26
2.2262833870431434e-07,6.305399736653816e-26
3.078666578260052e-09,2.2840673916552024e-27
3.6164418961015974e-08,6.095410354037333e-27
2.9236905748232866e-09,2.5615585468895355e-27
1.530014513294571e-09,1.1713685914401556e-24
2.4674150163693636e-09,5.1060346532136345e-26
5.143236110662249e-10,1.0281568881858535e-25
2.1481077019975768e-10,1.2133433688976328e-24
2.458649736294747e-09,5.125851533620807e-27
4.09606234205667e-09,2.5177264598690428e-26
6.163907386024214e-09,1.88290660263555e-27
1.0437559474164247e-08,3.5254085934068116e-27
4.864280739322332e-09,3.5657255987517706e-27
